,Unnamed: 0,id,etat_panneau,irradiance,temp_amb,temp_module,wind_speed,wind_dir,humidity,rain,dc_power,voltage,current,ac_power,PR,eff_module,eff_global,onduleur_state,alarms,stops,aux_power,prod_jour,prod_mois,prod_an,disponibility,p50,p90,revenus,day
0,0,0,sain,837.74,22.57,31.15,2.25,114.0,50.2,0.0,160.76,584.88,0.27,153.92,0.92,0.171,0.15732,ok,0,2,45.81,769.58,23087.4,277048.80000000005,0.99,824.72,766.19,76.95800000000001,1
1,1,1,sain,1047.57,16.5,30.55,4.82,81.6,49.7,0.0,209.07,575.79,0.36,192.74,0.92,0.192,0.17664,ok,0,2,42.87,963.72,28911.6,346939.2,0.97,1054.46,915.02,96.372,1
2,2,2,sain,1033.22,30.95,43.95,3.29,277.6,76.0,0.0,221.13,597.51,0.37,180.351,0.97,0.1773,0.171981,ok,0,0,60.8,1001.96,30058.800000000003,360705.6,0.98,1089.21,962.55,100.196,1
3,3,3,sain,680.89,24.97,36.16,1.31,330.7,66.7,0.0,138.8,588.44,0.24,131.53,0.97,0.186,0.18042,ok,0,1,50.23,657.66,19729.8,236757.6,1.0,665.58,614.48,65.766,1
4,4,4,panne,792.36,26.03,41.52,3.3,189.5,46.6,5.0,35.48,598.55,0.06,5.841,0.04,0.1548,0.006192,defaut,1,11,64.65,32.43,972.9,11674.8,0.69,34.66,31.34,3.2430000000000003,1
5,5,5,usé,731.06,20.0,39.88,2.41,268.4,83.2,1.0,118.26,593.74,0.2,109.02,0.75,0.158,0.1185,ok,1,1,66.86,545.08,16352.4,196228.8,0.83,565.31,491.66,54.50800000000001,1
6,6,6,usé,817.73,27.99,38.11,3.79,156.0,87.9,0.0,142.61,607.72,0.23,133.63,0.82,0.191,0.1566199999999999,ok,0,0,59.23,668.17,20045.1,240541.2,0.94,684.77,625.54,66.817,1
7,7,7,sain,980.52,24.99,42.49,0.57,282.3,28.7,0.0,199.47,607.02,0.33,173.628,0.98,0.1692,0.165816,ok,0,1,40.62,964.58,28937.4,347248.80000000005,0.96,1005.93,933.76,96.458,1
8,8,8,sain,628.74,26.53,35.82,3.74,114.5,27.1,1.0,132.53,578.7,0.23,123.86,0.98,0.196,0.19208,ok,0,0,52.95,619.3,18579.0,222948.0,0.99,627.22,605.11,61.93,1
9,9,9,usé,879.96,18.9,32.89,2.48,350.5,84.6,2.0,146.76,603.59,0.24,140.87,0.8,0.185,0.148,ok,0,2,50.63,704.33,21129.9,253558.8,0.8,743.7,644.61,70.433,1
10,10,10,usé,830.74,21.79,35.01,5.52,225.2,65.6,0.0,125.78,620.84,0.2,115.53,0.7,0.181,0.1266999999999999,ok,0,2,36.11,577.65,17329.5,207954.0,0.81,592.05,560.51,57.765,1
11,11,11,sain,270.14,20.55,46.5,4.03,297.3,73.8,0.0,53.34,595.39,0.09,45.594,0.94,0.1674,0.157356,ok,0,2,53.74,253.28,7598.4,91180.8,1.0,275.59,249.28,25.328000000000003,1
12,12,12,usé,997.75,32.8,51.83,1.77,65.2,41.8,0.0,144.22,630.98,0.23,121.32,0.68,0.1764,0.119952,ok,1,0,33.99,673.99,20219.7,242636.4,0.83,718.78,671.15,67.399,1
13,13,13,sain,1012.26,24.17,36.28,2.17,28.3,43.1,0.0,201.77,567.3,0.36,188.73,0.93,0.174,0.16182,ok,0,2,54.52,943.66,28309.8,339717.6,0.98,1028.96,938.07,94.366,1
14,14,14,usé,939.96,27.52,45.34,1.72,217.2,31.3,0.0,152.11,621.4179611276728,0.2401499294247322,131.049,0.77,0.1647,0.126819,ok,0,1,48.38,728.07,21842.1,262105.2,0.93,745.7,687.05,72.807,1
15,15,15,sain,1064.07,25.62,43.44,3.99,42.6,50.7,1.0,210.92,592.8459331620198,0.3686534398603063,178.281,0.9207,0.1404,0.12926628,ok,0,1,58.37,990.44,29713.2,356558.4,0.96,1000.84,960.29,99.044,1
16,16,16,usé,602.44,19.09,30.16,3.24,131.3,51.9,0.0,84.14,624.9380021297671,0.1431257182322096,81.39,0.6664,0.174,0.1159535999999999,ok,1,2,58.74,406.94,12208.2,146498.40000000002,0.82,439.54,404.83,40.694,1
17,17,17,sain,744.43,29.3,48.54,1.32,159.0,83.3,0.5,153.16,599.2341720048839,0.2686500064166462,131.643,0.9506,0.1773,0.16854138,ok,0,2,52.89,731.34,21940.2,263282.4,0.97,755.76,663.14,73.134,1
18,18,18,sain,713.33,30.4,37.54,5.07,161.3,42.1,0.0,145.48,599.2147005469058,0.2388181741858869,131.74,0.8832,0.186,0.1642751999999999,ok,0,1,50.17,658.68,19760.4,237124.8,0.96,678.22,634.27,65.868,1
19,19,19,usé,792.19,17.28,27.99,3.15,72.5,81.9,0.0,141.9,617.5568430974112,0.2153437185675143,135.81,0.817,0.182,0.148694,ok,0,1,48.3,679.07,20372.1,244465.2,0.9,722.57,623.31,67.90700000000001,1
20,20,20,sain,858.59,26.07,41.41,1.56,330.5,61.9,0.5,177.52,597.8773774769608,0.298804226836404,154.665,0.94,0.1449,0.136206,ok,0,1,55.38,859.25,25777.5,309330.0,0.95,914.47,823.66,85.92500000000001,1
21,21,21,sain,668.66,28.72,43.63,5.01,273.9,88.9,0.5,127.74,527.8259596100278,0.2014393212264616,106.065,0.8183999999999999,0.1818,0.14878512,ok,0,1,63.44,589.25,17677.5,212130.0,0.95,602.41,537.75,58.925,1
22,22,22,usé,848.69,29.36,46.3,3.06,113.4,49.6,0.0,138.68,582.3473101593479,0.204081762803346,119.889,0.7176,0.1521,0.10914696,ok,0,0,41.01,666.06,19981.8,239781.6,0.9,691.17,642.87,66.606,1
23,23,23,sain,664.99,30.71,46.51,3.41,12.9,60.0,0.5,128.57,551.1764730896155,0.2054503042641015,110.7,0.8372,0.1602,0.13411944,ok,0,1,49.91,614.98,18449.4,221392.8,0.98,637.06,581.22,61.498000000000005,1
24,24,24,sain,999.04,27.84,40.56,4.63,206.4,82.2,0.0,199.08,572.9140053946429,0.3135454273445756,162.24300000000002,0.81,0.1611,0.130491,ok,0,2,34.81,901.35,27040.5,324486.0,0.99,975.28,858.55,90.135,1
25,25,25,sain,590.65,18.98,32.97,4.99,267.2,28.5,0.5,111.22,610.7998400094399,0.1937978551538726,105.52,0.7921,0.183,0.1449543,ok,0,1,42.0,527.62,15828.6,189943.2,0.96,577.49,478.85,52.762,1
